date,pair,rate
2001-07-31,USDCNY,8.276700019836426
2001-08-31,USDCNY,8.276900291442871
2001-09-30,USDCNY,8.276900291442871
2001-10-31,USDCNY,8.277000427246094
2001-11-30,USDCNY,8.277400016784668
2001-12-31,USDCNY,8.276700019836426
2002-01-31,USDCNY,8.27649974822998
2002-02-28,USDCNY,8.27649974822998
2002-03-31,USDCNY,8.277400016784668
2002-04-30,USDCNY,8.277299880981445
2002-05-31,USDCNY,8.27649974822998
2002-06-30,USDCNY,8.277099609375
2002-07-31,USDCNY,8.276700019836426
2002-08-31,USDCNY,8.276800155639648
2002-09-30,USDCNY,8.266900062561035
2002-10-31,USDCNY,8.277000427246094
2002-11-30,USDCNY,8.277199745178223
2002-12-31,USDCNY,8.277000427246094
2003-01-31,USDCNY,8.276900291442871
2003-02-28,USDCNY,8.27750015258789
2003-03-31,USDCNY,8.277400016784668
2003-04-30,USDCNY,8.277000427246094
2003-12-31,USDCNY,8.26669979095459
2004-01-31,USDCNY,8.266799926757812
2004-02-29,USDCNY,8.266900062561035
2004-03-31,USDCNY,8.267000198364258
2004-04-30,USDCNY,8.26710033416748
2004-05-31,USDCNY,8.266900062561035
2004-06-30,USDCNY,8.266599655151367
2004-07-31,USDCNY,8.266900062561035
2004-08-31,USDCNY,8.266599655151367
2004-09-30,USDCNY,8.266599655151367
2004-10-31,USDCNY,8.266501426696777
2004-11-30,USDCNY,8.266501426696777
2004-12-31,USDCNY,8.266501426696777
2005-01-31,USDCNY,8.266501426696777
2005-02-28,USDCNY,8.266501426696777
2005-03-31,USDCNY,8.266501426696777
2005-04-30,USDCNY,8.266501426696777
2005-05-31,USDCNY,8.266501426696777
2005-06-30,USDCNY,8.266501426696777
2005-07-31,USDCNY,8.095600128173828
2005-08-31,USDCNY,8.089799880981445
2005-09-30,USDCNY,8.076800346374512
2005-10-31,USDCNY,8.073200225830078
2005-11-30,USDCNY,8.075599670410156
2005-12-31,USDCNY,8.06820011138916
2006-01-31,USDCNY,8.062000274658203
2006-02-28,USDCNY,8.0378999710083
2006-03-31,USDCNY,8.007499694824219
2006-04-30,USDCNY,8.003899574279785
2006-05-31,USDCNY,8.013999938964844
2006-06-30,USDCNY,7.982500076293945
2006-07-31,USDCNY,7.960000038146973
2006-08-31,USDCNY,7.944900035858154
2006-09-30,USDCNY,7.897299766540527
2006-10-31,USDCNY,7.86899995803833
2006-11-30,USDCNY,7.823299884796143
2006-12-31,USDCNY,7.797500133514404
2007-01-31,USDCNY,7.764800071716309
2007-02-28,USDCNY,7.728000164031982
2007-03-31,USDCNY,7.720799922943115
2007-04-30,USDCNY,7.695499897003174
2007-05-31,USDCNY,7.637499809265137
2007-06-30,USDCNY,7.603499889373779
2007-07-31,USDCNY,7.5625
2007-08-31,USDCNY,7.534999847412109
2007-09-30,USDCNY,7.495999813079834
2007-10-31,USDCNY,7.46150016784668
2007-11-30,USDCNY,7.388000011444092
2007-12-31,USDCNY,7.294099807739258
2008-01-31,USDCNY,7.172999858856201
2008-02-29,USDCNY,7.101900100708008
2008-03-31,USDCNY,7.002399921417236
2008-04-30,USDCNY,6.978499889373779
2008-05-31,USDCNY,6.932499885559082
2008-06-30,USDCNY,6.844399929046631
2008-07-31,USDCNY,6.821499824523926
2008-08-31,USDCNY,6.825200080871582
2008-09-30,USDCNY,6.835100173950195
2008-10-31,USDCNY,6.829500198364258
2008-11-30,USDCNY,6.815899848937988
2008-12-31,USDCNY,6.813300132751465
2009-01-31,USDCNY,6.829699993133545
2009-02-28,USDCNY,6.82889986038208
2009-03-31,USDCNY,6.826300144195557
2009-04-30,USDCNY,6.809500217437744
2009-05-31,USDCNY,6.818299770355225
2009-06-30,USDCNY,6.820499897003174
2009-07-31,USDCNY,6.8221001625061035
2009-08-31,USDCNY,6.821199893951416
2009-09-30,USDCNY,6.816400051116943
2009-10-31,USDCNY,6.817500114440918
2009-11-30,USDCNY,6.817200183868408
2009-12-31,USDCNY,6.83050012588501
2010-01-31,USDCNY,6.81689977645874
2010-02-28,USDCNY,6.816699981689453
2010-03-31,USDCNY,6.815899848937988
2010-04-30,USDCNY,6.815999984741211
2010-05-31,USDCNY,6.8180999755859375
2010-06-30,USDCNY,6.771999835968018
2010-07-31,USDCNY,6.765200138092041
2010-08-31,USDCNY,6.793300151824951
2010-09-30,USDCNY,6.678400039672852
2010-10-31,USDCNY,6.676499843597412
2010-11-30,USDCNY,6.6504998207092285
2010-12-31,USDCNY,6.612400054931641
2011-01-31,USDCNY,6.572500228881836
2011-02-28,USDCNY,6.563000202178955
2011-03-31,USDCNY,6.548600196838379
2011-04-30,USDCNY,6.500999927520752
2011-05-31,USDCNY,6.473800182342529
2011-06-30,USDCNY,6.4629998207092285
2011-07-31,USDCNY,6.442999839782715
2011-08-31,USDCNY,6.380300045013428
2011-09-30,USDCNY,6.387499809265137
2011-10-31,USDCNY,6.348800182342529
2011-11-30,USDCNY,6.365099906921387
2011-12-31,USDCNY,6.309000015258789
2012-01-31,USDCNY,6.313600063323975
2012-02-29,USDCNY,6.298399925231934
2012-03-31,USDCNY,6.296000003814697
2012-04-30,USDCNY,6.304200172424316
2012-05-31,USDCNY,6.3506999015808105
2012-06-30,USDCNY,6.354000091552734
2012-07-31,USDCNY,6.3796000480651855
2012-08-31,USDCNY,6.350200176239014
2012-09-30,USDCNY,6.2846999168396
2012-10-31,USDCNY,6.2418999671936035
2012-11-30,USDCNY,6.231400012969971
2012-12-31,USDCNY,6.234799861907959
2013-01-31,USDCNY,6.2195000648498535
2013-02-28,USDCNY,6.226200103759766
2013-03-31,USDCNY,6.217800140380859
2013-04-30,USDCNY,6.165200233459473
2013-05-31,USDCNY,6.1209001541137695
2013-06-30,USDCNY,6.127600193023682
2013-07-31,USDCNY,6.121699810028076
2013-08-31,USDCNY,6.109499931335449
2013-09-30,USDCNY,6.109899997711182
2013-10-31,USDCNY,6.083799839019775
2013-11-30,USDCNY,6.083199977874756
2013-12-31,USDCNY,6.051799774169922
2014-01-31,USDCNY,6.051000118255615
2014-02-28,USDCNY,6.1184000968933105
2014-03-31,USDCNY,6.202199935913086
2014-04-30,USDCNY,6.2480998039245605
2014-05-31,USDCNY,6.248437881469727
2014-06-30,USDCNY,6.208499908447266
2014-07-31,USDCNY,6.161499977111816
2014-08-31,USDCNY,6.133399963378906
2014-09-30,USDCNY,6.139999866485596
2014-10-31,USDCNY,6.104499816894531
2014-11-30,USDCNY,6.153467178344727
2014-12-31,USDCNY,6.191999912261963
2015-01-31,USDCNY,6.241000175476074
2015-02-28,USDCNY,6.268021106719971
2015-03-31,USDCNY,6.196499824523926
2015-04-30,USDCNY,6.190199851989746
2015-05-31,USDCNY,6.191199779510498
2015-06-30,USDCNY,6.198800086975098
2015-07-31,USDCNY,6.199699878692627
2015-08-31,USDCNY,6.378499984741211
2015-09-30,USDCNY,6.353600025177002
2015-10-31,USDCNY,6.318716049194336
2015-11-30,USDCNY,6.385000228881836
2015-12-31,USDCNY,6.481200218200684
2016-01-31,USDCNY,6.607202053070068
2016-02-29,USDCNY,6.530399799346924
2016-03-31,USDCNY,6.455100059509277
2016-04-30,USDCNY,6.464099884033203
2016-05-31,USDCNY,6.573299884796143
2016-06-30,USDCNY,6.626800060272217
2016-07-31,USDCNY,6.642300128936768
2016-08-31,USDCNY,6.6803998947143555
2016-09-30,USDCNY,6.668700218200684
2016-10-31,USDCNY,6.783400058746338
2016-11-30,USDCNY,6.897299766540527
2016-12-31,USDCNY,6.94379997253418
2017-01-31,USDCNY,6.88070011138916
2017-02-28,USDCNY,6.870100021362305
2017-03-31,USDCNY,6.888999938964844
2017-04-30,USDCNY,6.912099838256836
2017-05-31,USDCNY,6.855800151824951
2017-06-30,USDCNY,6.785699844360352
2017-07-31,USDCNY,6.738900184631348
2017-08-31,USDCNY,6.595699787139893
2017-09-30,USDCNY,6.664999961853027
2017-10-31,USDCNY,6.642399787902832
2017-11-30,USDCNY,6.60830020904541
2017-12-31,USDCNY,6.50570011138916
2018-01-31,USDCNY,6.321100234985352
2018-02-28,USDCNY,6.316699981689453
2018-03-31,USDCNY,6.285600185394287
2018-04-30,USDCNY,6.336999893188477
2018-05-31,USDCNY,6.418000221252441
2018-06-30,USDCNY,6.627399921417236
2018-07-31,USDCNY,6.814899921417236
